"channels_used_instagram","channels_used_facebook","channels_used_tiktok","channels_used_email","channels_used_in_store"
FALSE,TRUE,FALSE,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,TRUE
TRUE,FALSE,TRUE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,FALSE,FALSE,TRUE,TRUE
TRUE,FALSE,FALSE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,FALSE,TRUE,FALSE,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE
